id,text,prediction
1,Today is a great day! I feel really happy.,"[{""label"": ""joy"", ""score"": 0.9982120990753174}, {""label"": ""love"", ""score"": 0.0008422273676842451}, {""label"": ""sadness"", ""score"": 0.00035391119308769703}, {""label"": ""surprise"", ""score"": 0.0002690490800887346}, {""label"": ""anger"", ""score"": 0.00021155255672056228}, {""label"": ""fear"", ""score"": 0.00011112126958323643}]"
2,My cat passed away yesterday. I am feeling sad.,"[{""label"": ""sadness"", ""score"": 0.9960663914680481}, {""label"": ""anger"", ""score"": 0.0020458565559238195}, {""label"": ""love"", ""score"": 0.0007607921725139022}, {""label"": ""joy"", ""score"": 0.000733083754312247}, {""label"": ""fear"", ""score"": 0.00023227758356370032}, {""label"": ""surprise"", ""score"": 0.0001615885557839647}]"
3,Just got promoted at work! Feeling ecstatic!,"[{""label"": ""joy"", ""score"": 0.9961580634117126}, {""label"": ""love"", ""score"": 0.0014877706998959184}, {""label"": ""surprise"", ""score"": 0.000855897378642112}, {""label"": ""sadness"", ""score"": 0.0007746995543129742}, {""label"": ""anger"", ""score"": 0.00046943832421675324}, {""label"": ""fear"", ""score"": 0.0002542636066209525}]"
4,Stuck in traffic again. Feeling frustrated.,"[{""label"": ""anger"", ""score"": 0.995756208896637}, {""label"": ""sadness"", ""score"": 0.0018222881481051445}, {""label"": ""fear"", ""score"": 0.0011528747854754329}, {""label"": ""love"", ""score"": 0.000698587391525507}, {""label"": ""joy"", ""score"": 0.0003647982084657997}, {""label"": ""surprise"", ""score"": 0.00020523648709058762}]"
5,Received a heartfelt letter from a friend. Feeling touched.,"[{""label"": ""love"", ""score"": 0.6518999338150024}, {""label"": ""surprise"", ""score"": 0.29453879594802856}, {""label"": ""fear"", ""score"": 0.02070506103336811}, {""label"": ""joy"", ""score"": 0.01931111328303814}, {""label"": ""sadness"", ""score"": 0.00719841942191124}, {""label"": ""anger"", ""score"": 0.006346702575683594}]"
6,Failed my exam. Feeling disappointed.,"[{""label"": ""sadness"", ""score"": 0.9837284088134766}, {""label"": ""joy"", ""score"": 0.009462217800319195}, {""label"": ""anger"", ""score"": 0.003482114290818572}, {""label"": ""love"", ""score"": 0.0022835892159491777}, {""label"": ""fear"", ""score"": 0.0006545304204337299}, {""label"": ""surprise"", ""score"": 0.0003892472595907748}]"
7,Going on vacation tomorrow! Feeling excited.,"[{""label"": ""joy"", ""score"": 0.9947859644889832}, {""label"": ""love"", ""score"": 0.003198208287358284}, {""label"": ""surprise"", ""score"": 0.0007827607914805412}, {""label"": ""anger"", ""score"": 0.000515587511472404}, {""label"": ""sadness"", ""score"": 0.00040885660564526916}, {""label"": ""fear"", ""score"": 0.00030854594660922885}]"
8,Feeling anxious about the upcoming presentation.,"[{""label"": ""fear"", ""score"": 0.9891350269317627}, {""label"": ""surprise"", ""score"": 0.0031461305916309357}, {""label"": ""anger"", ""score"": 0.0024175592698156834}, {""label"": ""sadness"", ""score"": 0.0023304603528231382}, {""label"": ""love"", ""score"": 0.0016687921015545726}, {""label"": ""joy"", ""score"": 0.0013020136393606663}]"
9,Just finished a good book. Feeling satisfied.,"[{""label"": ""joy"", ""score"": 0.9977374076843262}, {""label"": ""love"", ""score"": 0.000748686317820102}, {""label"": ""sadness"", ""score"": 0.0005157043342478573}, {""label"": ""surprise"", ""score"": 0.00045170943485572934}, {""label"": ""anger"", ""score"": 0.00035931888851337135}, {""label"": ""fear"", ""score"": 0.00018708966672420502}]"
10,Feeling angry after an argument with a coworker.,"[{""label"": ""anger"", ""score"": 0.9940130114555359}, {""label"": ""fear"", ""score"": 0.0033834620844572783}, {""label"": ""sadness"", ""score"": 0.0008957432582974434}, {""label"": ""love"", ""score"": 0.0008163032471202314}, {""label"": ""joy"", ""score"": 0.0005506419693119824}, {""label"": ""surprise"", ""score"": 0.0003408642951399088}]"
